,Train Loss,Test Loss,LR
42,1.670099708617803,1.179193152366216,0.0025
43,1.6570429707155452,1.2663891109601368,0.0025
44,1.5918403003419046,1.0637345005738326,0.0025
45,1.5706721510053667,1.0208330988154382,0.0025
46,1.5451989996419573,1.2133014137313158,0.0025
47,1.538249848292433,1.160665014075386,0.0025
48,1.4829426283822247,0.9755105778161867,0.0025
49,1.457356779397157,1.220120389035494,0.0025
50,1.4608483677882456,1.0926820885215245,0.0025
51,1.4185147028762792,1.021103018588784,0.0025
52,1.4039770313767348,1.1548467818734798,0.0025
53,1.374190812816462,0.9059041331084167,0.0025
54,1.3368774174952476,0.9979320789004351,0.0025
55,1.3048218474216127,0.8791791169594476,0.0025
56,1.305183536156046,1.120327013917692,0.0025
57,1.2887039887358447,0.884876589235475,0.0025
58,1.2571334798893075,0.8359479538092275,0.0025
59,1.2438899513947828,0.767673534139871,0.0025
60,1.2158061598918999,1.0480520589203162,0.0025
61,1.2033734115313406,0.7477142672342483,0.0025
62,1.1918854417487448,0.7597542990302605,0.0025
63,1.1715188169686803,0.7461096162657541,0.0025
64,1.1282432609062225,0.9428291619789639,0.0025
65,1.1327009073204666,0.7373226350572348,0.0025
66,1.1442224937986012,0.6777209397210918,0.0025
67,1.1103485645351003,0.6946065515283346,0.0025
68,1.0955894823110641,0.7782697361456623,0.0025
69,1.0838354397494225,0.8142722155829516,0.0025
70,1.0752803602360375,0.7118078694614802,0.0025
71,1.0749878199120229,0.8745669963965536,0.0025
72,1.064360233269662,0.7645700362697735,0.0025
73,1.0354162454641116,0.6553660687401159,0.0025
74,1.0202348582240852,0.6877295670640379,0.0025
75,1.030089183859462,0.8131670279619031,0.0025
76,1.0379456101886513,0.742533661495748,0.0025
77,1.0137579723554293,0.7759574754719086,0.0025
78,1.0153835819146546,0.7300539158421462,0.0025
79,1.0058459019086188,0.6397984321343717,0.0025
80,0.9971734713833899,0.6405475385675736,0.0025
81,1.001743576147212,0.598825908845947,0.0025
82,0.9879213751323935,0.6321642479947474,0.0025
83,0.9851993234861539,0.6418717229593763,0.0025
84,0.9785626480517579,0.6480793834419278,0.0025
85,0.7540144482434505,0.4870657521351094,0.00025
86,0.6939619623075532,0.476505340762203,0.00025
87,0.6803303485110868,0.4696395285673449,0.00025
88,0.6665236191348823,0.4626005559598185,0.00025
89,0.6558356128295854,0.45538772883484463,0.00025
90,0.6556654655244096,0.454692851949193,0.00025
91,0.6497656079399126,0.4465307484837006,0.00025
92,0.6399165450910824,0.44345981502796183,0.00025
93,0.6373482225459981,0.44296624284824604,0.00025
94,0.6304017269073329,0.4407267259418442,0.00025
95,0.6261846698970494,0.43597243036182937,0.00025
96,0.6218853932418504,0.43618385201382864,0.00025
97,0.6162138833833111,0.42646571285338675,0.00025
98,0.6169167324269504,0.4287646292824713,0.00025
99,0.6119477891697278,0.43248631780235963,0.00025
100,0.6073875766629921,0.42567771250469466,0.00025
101,0.6083221041531759,0.42590511109839535,0.00025
102,0.6055381782832343,0.4207686702415149,0.00025
103,0.6016897301026812,0.42314423328686,0.00025
104,0.601711890526923,0.41794106577047274,0.00025
105,0.5995912517667803,0.4184802033227989,0.00025
106,0.5994360355133521,0.4150502857262957,0.00025
107,0.5939793843249527,0.4200260595272215,0.00025
108,0.592004114353767,0.41351718543801264,0.00025
109,0.5881933076425907,0.41164266716943243,0.00025
110,0.5899408823139725,0.41337714628856836,0.00025
111,0.588257038753909,0.40920199846343003,0.00025
112,0.5828787146662738,0.409173985267478,0.00025
113,0.5798900071627193,0.4067097049750558,0.00025
114,0.5808389646921567,0.40951548900321566,0.00025
115,0.5766074740881646,0.40554742937283716,0.00025
116,0.5739133537561106,0.4043972114476353,0.00025
117,0.5766801549569983,0.4028180184719672,0.00025
